城市,房价/平方
七台河,3940.0
万宁,16696.0
三亚,53842.12
三明,7907.02
三门峡,5184.92
上海,50604.1
上虞,19217.28
上饶,8149.28
东兴,7352.73
东台,7025.64
东方,12266.67
东海,6624.13
东港,5238.33
东莞,24166.67
东营,9033.72
中卫,3950.0
中山,13254.62
丰县,5391.69
丰城,4626.67
丰都,4200.0
临夏,6300.0
临朐,4829.78
临汾,6444.3
临沂,9111.11
临沧,4575.0
临海,14137.68
临清,4183.0
临猗,3578.5
丹东,8037.64
丽水,16994.11
丽江,14052.73
乌兰察布,6315.47
乌海,4479.55
乌鲁木齐,10356.04
乐亭,4125.0
乐山,6261.31
九江,7554.38
云浮,5948.25
五家渠,6375.0
五河,5340.0
亳州,6974.01
仙桃,5853.41
仪征,12180.02
任丘,9666.67
伊川,5861.51
伊春,3808.33
伊犁,3935.81
余姚,11107.44
佛山,15163.01
佳木斯,3840.89
依兰,3750.0
保定,10909.78
保山,8263.21
信阳,8467.11
修文,4490.0
偃师,5633.24
儋州,11950.0
元氏,9169.5
克孜勒苏,6800.0
克拉玛依,13850.0
全椒,9433.33
公主岭,6057.14
六安,6986.66
兰州,9344.43
兰考,4816.84
兴化,5060.0
兴安盟,3949.99
冀州,4478.29
内江,6537.51
农安,4114.15
凉山,10496.14
包头,8137.11
北京,47787.34
北海,9923.5
十堰,6611.54
南京,31127.33
南充,7054.55
南宁,14696.48
南安,7340.38
南川,5513.56
南平,8473.63
南昌,13573.32
南通,18747.6
南阳,8010.14
博尔塔拉,5770.0
博罗,8709.19
厦门,31529.97
双鸭山,5100.0
句容,12304.63
台安,3500.0
台山,6872.8
台州,17673.77
吉安,7572.73
吉林,7366.67
吐鲁番,5300.0
吕梁,5600.0
启东,11905.19
吴忠,4126.89
周口,5980.62
周至,7766.67
呼伦贝尔,4196.8
呼和浩特,11416.01
和田,5783.33
咸宁,5689.14
咸阳,9898.66
哈密,6066.67
哈尔滨,10500.0
唐山,13575.0
商丘,7094.23
商河,6712.25
喀什,6121.77
嘉兴,15190.28
嘉峪关,5020.0
四平,5383.33
固原,3886.06
固安,13289.58
固镇,4737.6
夏邑,5183.33
大兴安岭,3990.0
大同,7382.18
大庆,5394.32
大理,14059.73
大连,16654.18
大邑,6821.0
天水,8715.1
天津,25595.2
天门,5354.22
太仓,19002.44
太原,11124.66
奉化,235959.88
奎屯,3675.0
如东,17104.17
如皋,9504.26
姜堰,10076.28
威海,9828.55
娄底,5366.61
孝感,7939.0
孟津,6610.79
宁乡,4294.38
宁德,10107.55
宁波,21639.75
宁海,81554.39
安丘,4250.0
安吉,11000.0
安宁,9218.2
安庆,6879.33
安康,9166.41
安溪,6924.36
安达,3902.86
安阳,6987.5
安陆,4671.25
安顺,4796.23
定兴,7700.0
定州,7026.37
定西,4705.96
宜兴,14680.0
宜城,5183.33
宜宾,8090.17
宜昌,9168.42
宜春,9752.38
宜都,4062.19
宜阳,6553.85
宝鸡,5577.68
宣城,6553.4
宾县,4630.0
宿州,6620.33
宿迁,8875.0
寿光,5507.27
尚志,9500.0
岳阳,7934.42
崇州,7792.81
崇左,3214.29
巢湖,9956.0
巩义,5713.73
巴中,4785.93
巴州,4402.8
巴彦淖尔,5119.34
常宁,4189.93
常州,16300.0
常德,6765.33
常熟,19345.92
平凉,5726.34
平山,7500.0
平度,7850.0
平湖,14573.08
平潭,11662.78
平阴,4747.8
平顶山,6650.0
广元,6349.65
广安,5386.69
广州,30500.0
广德,8045.85
广饶,5690.78
庄河,4625.0
庆云,5236.73
庆阳,6281.14
库尔勒,4619.13
廊坊,14024.32
延安,7316.54
延边,5249.17
建德,9633.33
开封,8598.51
开阳,4500.0
张家口,8629.4
张家港,14186.09
张家界,7067.37
张掖,4216.02
当涂,6333.33
当阳,2666.67
彭州,6013.63
徐州,10705.73
德宏,6408.84
德州,8306.14
德惠,6633.33
德清,14625.0
德阳,6831.94
忻州,6249.49
怀仁,4133.33
怀化,5960.11
怀远,5551.0
怒江,4000.0
恩平,5623.47
恩施,5500.0
惠东,10883.31
惠安,7164.62
惠州,13850.02
慈溪,12536.39
成都,13196.92
户县,9912.5
扬州,15918.26
承德,8743.48
抚州,8899.95
抚顺,5316.23
拉萨,7800.0
揭阳,7783.0
攀枝花,6463.29
文安,8350.0
文山,3874.04
新丰,6200.0
新乡,7575.52
新余,4810.24
新安,3600.0
新密,10100.0
新建,12042.4
新民,3800.0
新沂,7546.74
新泰,5525.21
新津,9224.75
无极,4000.0
无锡,20209.87
日喀则,5466.67
日照,11157.14
昆山,23088.0
昆明,16182.89
昌乐,3865.33
昌邑,5082.97
昌都,5997.5
昌黎,11462.5
昭通,3458.02
晋中,8043.0
晋城,5699.88
晋江,10003.56
普兰店,5949.58
普宁,7147.36
普洱,6679.47
景德镇,7733.16
曲靖,6213.0
朔州,4120.0
望城,8134.42
