省份,城市,房价/平方
安徽,蚌埠,7200
安徽,蚌埠,7500
安徽,蚌埠,7500
安徽,蚌埠,7000
安徽,蚌埠,8600
安徽,蚌埠,9600
安徽,蚌埠,8500
安徽,蚌埠,7200
安徽,蚌埠,16000
安徽,蚌埠,12500
安徽,阜阳,8500
安徽,阜阳,9148
安徽,阜阳,7400
安徽,阜阳,6800
安徽,阜阳,9035
安徽,阜阳,9000
安徽,阜阳,8600
安徽,阜阳,5566
安徽,阜阳,6636
安徽,马鞍山,7500
安徽,马鞍山,7500
安徽,马鞍山,9300
安徽,马鞍山,10800
安徽,马鞍山,9000
安徽,马鞍山,12800
安徽,马鞍山,12500
安徽,马鞍山,12000
安徽,马鞍山,9200
安徽,马鞍山,14000
安徽,滁州,5800
安徽,滁州,8800
安徽,滁州,7800
安徽,安庆,9888
安徽,滁州,7200
安徽,滁州,5600
安徽,安庆,6600
安徽,安庆,5200
安徽,滁州,6025
安徽,滁州,8300
安徽,安庆,5800
安徽,安庆,4300
安徽,滁州,9000
安徽,滁州,9500
直辖市,重庆,17800
直辖市,重庆,8800
安徽,安庆,8838
安徽,安庆,8500
安徽,安庆,6000
直辖市,重庆,4007
直辖市,重庆,20000
安徽,安庆,6788
直辖市,重庆,16000
直辖市,重庆,7500
直辖市,上海,58600
直辖市,重庆,15740
直辖市,上海,91200
直辖市,上海,12800
直辖市,北京,70000
直辖市,上海,28666
直辖市,上海,96000
安徽,亳州,5400
安徽,亳州,6200
安徽,亳州,6800
直辖市,北京,19875
直辖市,北京,50561
直辖市,上海,33950
直辖市,上海,45416
安徽,亳州,8200
安徽,亳州,7600
安徽,亳州,8000
直辖市,北京,41000
直辖市,上海,63666
安徽,亳州,6500
安徽,亳州,6400
安徽,亳州,7200
直辖市,北京,10500
直辖市,北京,70000
安徽,亳州,8800
直辖市,北京,38834
直辖市,北京,59722
安徽,铜陵,6800
安徽,铜陵,6500
安徽,铜陵,7000
安徽,铜陵,5900
安徽,铜陵,8500
安徽,铜陵,25000
安徽,铜陵,5400
安徽,铜陵,6600
河北,保定,9000
河北,保定,12300
河北,保定,9900
河北,保定,11988
河北,保定,9500
河北,保定,12500
河北,保定,8500
河北,保定,16000
河北,保定,8500
直辖市,天津,11500
直辖市,天津,29000
直辖市,天津,14500
直辖市,天津,20000
直辖市,天津,14000
直辖市,天津,20200
直辖市,天津,20700
直辖市,天津,15500
福建,福清,16900
福建,福清,10500
福建,福清,14000
福建,福清,14000
福建,福清,12500
江苏,常州,16300
福建,福清,13500
福建,福清,13000
福建,福清,10500
福建,福清,13000
福建,福清,10500
湖南,长沙,13500
浙江,安吉,10000
山东,济南,24000
山东,济南,15000
山东,济南,11000
湖南,长沙,11000
山东,济南,15000
湖南,长沙,12285
浙江,安吉,12000
江苏,江阴,9600
江苏,江阴,15000
山西,晋城,5688
山东,聊城,9150
山东,聊城,9500
山东,聊城,8150
山东,聊城,6800
江苏,江阴,10000
江苏,江阴,21000
山东,聊城,11500
山东,聊城,9500
山西,晋城,5580
山西,晋城,8500
山东,聊城,5400
山东,聊城,12000
湖南,常宁,4400
江苏,江阴,18500
江苏,江阴,8500
山西,晋城,5500
山西,晋城,7580
山西,晋城,6000
辽宁,大连,17000
辽宁,大连,9000
湖南,常宁,3800
湖南,常宁,4000
湖南,常宁,4100
江苏,江阴,12600
江苏,江阴,18800
山西,晋城,5388
辽宁,大连,30000
辽宁,大连,15239
湖南,常宁,4200
湖南,常宁,4000
广东,东莞,32000
江苏,江阴,16700
山东,东营,9450
山西,晋城,6500
辽宁,大连,15600
辽宁,大连,24000
湖南,常宁,4000
四川,成都,12900
广东,东莞,19500
江西,南昌,11000
山东,东营,11000
山东,东营,7000
山东,东营,9000
江西,南昌,14900
辽宁,大连,16200
辽宁,大连,9300
辽宁,大连,25500
江西,南昌,14500
江西,南昌,9098
江西,南昌,12300
四川,成都,10088
四川,成都,8100
广东,东莞,21000
山东,东营,11000
山东,东营,10000
海南,海南,16500
四川,成都,16000
海南,海南,25000
山东,东营,8300
山东,德州,8000
山东,德州,9700
江苏,昆山,21176
海南,海南,14500
四川,成都,9200
江苏,昆山,25000
山东,德州,6000
海南,海南,17500
海南,海南,17000
海南,海南,17300
海南,海南,16000
四川,成都,8588
海南,海南,15000
山东,德州,5559
广西,北海,8088
山东,德州,11000
广西,北海,7700
广西,北海,5800
广西,北海,15000
广西,北海,16000
广西,北海,6500
广东,广州,30000
广东,广州,31000
广西,北海,12000
广西,北海,8300
河北,冀州,6388
河北,冀州,10500
浙江,金华,28000
河北,邯郸,9600
浙江,金华,14500
浙江,金华,42000
河北,邯郸,8800
河北,邯郸,10800
河北,邯郸,9700
广东,江门,11000
浙江,金华,10000
浙江,金华,24000
浙江,金华,33000
河北,邯郸,9000
河北,邯郸,7500
河北,邯郸,8300
广东,江门,13000
广东,江门,9600
广东,江门,10000
河北,邯郸,11000
河北,邯郸,9500
河北,邯郸,8000
广东,江门,9200
广东,江门,11000
福建,福州,29000
河北,邯郸,30000
河北,邯郸,8000
福建,福州,7888
福建,福州,26500
福建,福州,33000
河北,冀州,3460
河北,冀州,1800
河北,冀州,3200
河北,冀州,3100
河北,冀州,2900
山东,青岛,38000
山东,青岛,14500
山东,青岛,15000
山东,青岛,9000
山东,青岛,15500
山东,青岛,24000
河北,衡水,7100
河北,衡水,8300
江苏,宿迁,8200
贵州,贵阳,9800
山东,青岛,15000
江苏,南通,15800
山东,日照,8700
河北,衡水,6900
河北,衡水,7500
河北,衡水,7900
河北,衡水,7200
广东,佛山,24000
河北,廊坊,15500
江苏,南通,12000
河北,廊坊,15500
江苏,南通,18500
贵州,贵阳,9300
山东,日照,9200
山东,日照,12000
山东,日照,5700
河北,廊坊,17800
河北,廊坊,13500
河北,廊坊,16000
贵州,贵阳,8000
贵州,贵阳,7100
广东,佛山,8480
广东,佛山,12000
山东,日照,12000
广东,佛山,6500
江苏,南通,17600
江苏,南通,13500
江苏,宿迁,6800
河北,廊坊,17200
江苏,宿迁,11000
甘肃,兰州,9800
河北,廊坊,12000
贵州,贵阳,9300
贵州,贵阳,10000
山东,日照,14000
山东,日照,16500
吉林,吉林,7500
吉林,吉林,6300
吉林,吉林,8000
江苏,南通,8000
江苏,南通,28000
江苏,宿迁,9500
甘肃,兰州,5800
甘肃,兰州,13800
河北,廊坊,21000
河北,廊坊,8500
贵州,贵阳,10800
贵州,贵阳,10000
吉林,吉林,6000
吉林,吉林,7400
吉林,吉林,7000
吉林,吉林,6400
广东,佛山,25000
甘肃,兰州,9800
甘肃,兰州,13000
江苏,句容,8500
吉林,吉林,9500
吉林,吉林,8500
甘肃,兰州,9550
吉林,吉林,6600
吉林,吉林,7500
江苏,句容,10500
江苏,句容,8688
广东,汕头,12000
浙江,丽水,20300
浙江,丽水,23498
云南,昆明,18500
河南,舞钢,5500
浙江,杭州,14600
河北,唐山,27000
浙江,丽水,20600
浙江,丽水,12000
浙江,丽水,19300
浙江,丽水,18500
江苏,句容,13000
江苏,句容,11500
广东,汕头,14000
浙江,宁波,34000
广东,深圳,68000
广东,深圳,17000
云南,昆明,10500
云南,昆明,17667
河南,舞钢,3800
河南,舞钢,3300
河北,唐山,7300
浙江,嘉兴,17000
浙江,嘉兴,13600
江苏,句容,24000
江苏,句容,12500
江苏,句容,8000
广东,汕头,7500
广东,深圳,10200
广东,深圳,90500
云南,昆明,13500
云南,昆明,23000
河南,舞钢,4500
浙江,杭州,18500
浙江,嘉兴,8906
浙江,嘉兴,18476
江苏,句容,13800
广东,汕头,12000
广东,深圳,84000
云南,昆明,26000
云南,昆明,11000
河北,唐山,10000
浙江,嘉兴,24500
广东,汕头,10350
广东,汕头,5800
云南,昆明,17500
云南,昆明,20000
云南,昆明,7400
河北,唐山,10000
浙江,嘉兴,18450
浙江,嘉兴,17500
江苏,太仓,21800
江苏,太仓,19300
江苏,太仓,26000
浙江,温州,24764
浙江,温州,9594
江苏,太仓,15000
江苏,太仓,13000
江苏,太仓,24500
广东,新丰,6200
浙江,温州,11551
江苏,太仓,19500
江苏,太仓,21500
福建,厦门,37500
福建,厦门,32000
福建,厦门,35576
浙江,温州,25350
江苏,太仓,22000
福建,厦门,26000
福建,厦门,31999
浙江,温州,17764
浙江,温州,278305
福建,厦门,34431
福建,厦门,27752
福建,厦门,69000
浙江,温州,29800
广西,玉林,4600
广西,玉林,6500
广西,玉林,5800
广西,南宁,15000
福建,泉州,5670
福建,泉州,12500
福建,泉州,12640
浙江,绍兴,17000
浙江,丽水,8500
浙江,宁波,28000
